Nombre,Precio_Venta,Stock,SKU,Codigo_Barras
SUAVIZANTE,0.9,0,S-0280,7590000000280
TOBO CON ASA METAL,2.5,0,TCAM-0281,7590000000281
EXPRIMIDOR,3.0,0,E-0282,7590000000282
CHUPA SANITARIA,4.5,0,CS-0283,7590000000283
CEPILLAVALINYEO SANITARIA,3.5,0,CS-0284,7590000000284
TOBO CON EXPRIMIDOR,5.0,0,TCE-0285,7590000000285
BOLSO DE NINOS,3.5,0,BDN-0286,7590000000286
CARTERA BLANCA,10.0,0,CB-0287,7590000000287
CADENAS DE ACERO INOXIDABLE,3.0,0,CDAI-0288,7590000000288
JUEGO DE CADENA,2.0,0,JDC-0289,7590000000289
LIGAS DE CABELLO,0.35,0,LDC-0290,7590000000290
BOMBILLO RECARGABLE,5.5,0,BR-0291,7590000000291
TEIPE ELECTRICO,1.2,0,TE-0292,7590000000292
DETERGENTE ARIEL 450G,3.0,0,DA4-0293,7590000000293
EXPRIMIDOR,4.5,0,E-0294,7590000000294
PEGA MOSCA,0.32,0,PM-0295,7590000000295
COLGATE MENTA 90G,1.6,0,CM9-0296,7590000000296
DESODORANTE SOBRE CLINIT,0.62,0,DSC-0297,7590000000297
DESODORANTE SOBRE BALANCE Y SPEED,0.5,0,DSBYS-0298,7590000000298
COLGATE XTRA BLANCURA 90G,3.1,0,CXB9-0299,7590000000299
SUAVITEL 500ML,2.5,0,S5-0300,7590000000300
LIMPIA AIRE,3.0,0,LA-0301,7590000000301
GANCHO DE CLOSET 10N UND,3.5,0,GDC1U-0302,7590000000302
WAFER PEQUENA,0.4,0,WP-0303,7590000000303
VAPORUB POTE,1.5,0,VP-0304,7590000000304
JABON BLANQUEADOR,2.0,0,JB-0305,7590000000305
DORITO,1.5,0,D-0306,7590000000306
PAPEL ROSAL 215H ROJO,1.65,0,PR2R-0307,7590000000307
GELATINA DE CABELLO EVERY NIGHT,2.2,0,GDCEN-0308,7590000000308
PAPEL ROSAL 215 H DUO,0.8,0,PR2HD-0309,7590000000309
TOCIMIEL,0.5,0,T-0310,7590000000310
POPETAS,1.3,0,P-0311,7590000000311
PANO MICROFIBRA,2.0,0,PM-0312,7590000000312
SORBETICOS,1.6,0,S-0313,7590000000313
PIAZZA,0.25,0,P-0314,7590000000314
SPACE POP CHOCOLATE 240G,2.5,0,SPC2-0315,7590000000315
PLANET CRONCH MEIL 240G,2.5,0,PCM2-0316,7590000000316
ROCKET PLANET DULCE LECHE 220G,3.1,0,RPDL2-0317,7590000000317
GRISSLY,0.9,0,G-0318,7590000000318
JABON EVERY NIGHT,1.6,0,JEN-0319,7590000000319
DESODORANTE BOLITA ROLL EVERY NIGHT,2.9,0,DBREN-0320,7590000000320
BRINKI,0.75,0,B-0321,7590000000321
CHAMPU DRENE 200G,4.3,0,CD2-0322,7590000000322
CREYON CERA NINO Y NINA,1.6,0,CCNYN-0323,7590000000323
CINTA FINA,0.3,0,CF-0324,7590000000324
CARTULINA,1.5,0,C-0325,7590000000325
FOAMI,0.4,0,F-0326,7590000000326
SET DE MARCADOR,2.5,0,SDM-0327,7590000000327
JUEHO GEOMETRICO,1.5,0,JG-0328,7590000000328
MENTUS GRANDE,2.5,0,MG-0329,7590000000329
GANCHOS PLASTICO,1.6,0,GP-0330,7590000000330
COLORES CON SACAPUNTA,2.5,0,CCS-0331,7590000000331
CUADERNOS,1.4,0,C-0332,7590000000332
REFLECTOR 50W,2.2,0,R5-0333,7590000000333
SACAPUNTA METAL,0.5,0,SM-0334,7590000000334
PEGA BARRA 21G,1.0,0,PB2-0335,7590000000335
ESMALTE SIGLO,1.2,0,ES-0336,7590000000336
GANCHO CABELLO,1.6,0,GC-0337,7590000000337
SACAPUNTA DOBLE,1.0,0,SD-0338,7590000000338
BOCADILLOS,0.16,0,B-0339,7590000000339
COLADOR DE JUGO MEDIANO,2.0,0,CDJM-0340,7590000000340
COLADOR DE JUGO GRANDE,2.8,0,CDJG-0341,7590000000341
AGUJAS DE COSER,0.5,0,ADC-0342,7590000000342
INCIENCIO,1.0,0,I-0343,7590000000343
MASCARILLA PANTENE KERATINA,1.0,0,MPK-0344,7590000000344
CANDADO,1.4,0,C-0345,7590000000345
ALCOHOL SPRAY,1.6,0,AS-0346,7590000000346
MAS LIMPIA POCETA,6.0,0,MLP-0347,7590000000347
HISOPO ESTRELLA,1.5,0,HE-0348,7590000000348
RESALTADOR,0.6,0,R-0349,7590000000349
LAMPARA PLATO 50W,1.9,0,LP5-0350,7590000000350
BOMBILLO DE 15W,1.0,0,BD1-0351,7590000000351
CINTA DOBLE CARA,1.0,0,CDC-0352,7590000000352
SOCATE DE GOMA,0.7,0,SDG-0353,7590000000353
LAMPARA DE PLATO,2.0,0,LDP-0354,7590000000354
BOMBILLO DE 15W,1.0,0,BD1-0355,7590000000355
ENCEDEDOR BERENICE,1.0,0,EB-0356,7590000000356
CUCHARAS 12 UND,2.0,0,C1U-0357,7590000000357
TENEDOR 12 UND,2.0,0,T1U-0358,7590000000358
CARPETA AMARILLA OFICIO,0.5,0,CAO-0359,7590000000359
BONBILLO MANZANA 30W,1.5,0,BM3-0360,7590000000360
CARTULINA BLANCA,1.2,0,CB-0361,7590000000361
CARTULINA COLOR,1.4,0,CC-0362,7590000000362
RAPIDO QUESO,0.8,0,RQ-0363,7590000000363
TERMO BERENICE,5.5,0,TB-0364,7590000000364
